Title,Link
"'Garantir o direito de existir', diz ministro dos Direitos Humanos na Parada LGBT+",https://orbi.band.uol.com.br/sao-paulo/garantir-o-direito-de-existir-diz-silvio-de-almeida-na-parada-lgbt-6669
Entenda como é possível crianças sobreviverem tanto tempo perdidas na floresta,https://www.band.uol.com.br/noticias/entenda-como-e-possivel-criancas-sobreviverem-tanto-tempo-perdidas-na-floresta-16608909
"Floresta Amazônica, onde crianças foram resgatadas, abrange nove países",https://www.band.uol.com.br/noticias/floresta-amazonica-onde-criancas-foram-resgatadas-abrange-nove-paises-16608924
Barco pega fogo no Mar Vermelho e três turistas britânicos estão desaparecidos,https://www.band.uol.com.br/noticias/barco-pega-fogo-no-mar-vermelho-e-tres-turistas-britanicos-estao-desaparecidos-16608916
Imprensa internacional repercute escândalo no futebol brasileiro,https://g1.globo.com/go/goias/noticia/2023/05/21/imprensa-internacional-repercute-escandalo-no-futebol-brasileiro-apos-manipulacao-de-resultados-com-esquema-de-apostas.ghtml
Instagram volta a funcionar depois de mais de uma hora fora do ar,https://g1.globo.com/tecnologia/noticia/2023/05/21/instagram-fica-fora-do-ar-neste-domingo.ghtml
Flamengo derrota o Corinthians com gol nos acréscimos,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/21-05-2023/flamengo-corinthians.ghtml
"Com golaço de Suárez, Grêmio vence e afunda Inter na crise",https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/21-05-2023/gremio-internacional.ghtml
Congresso vota nova regra fiscal e define plano de trabalho para 3 CPIs,https://g1.globo.com/politica/noticia/2023/05/21/congresso-tera-semana-com-cpis-e-votacao-do-novo-arcabouco-fiscal.ghtml
Autoridades atribuem a facções morte de pessoas que participavam de rali,https://g1.globo.com/mundo/noticia/2023/05/21/massacre-no-mexico-autoridades-atribuem-a-criminosos-morte-de-10-pessoas-que-participavam-de-rali.ghtml
Água da Fontana di Trevi é tingida de preto em ato pelo clima,https://g1.globo.com/mundo/noticia/2023/05/21/agua-da-fontana-di-trevi-escurece-em-protesto-pelo-clima-em-roma.ghtml
4 fatores que explicam a nova desaceleração econômica na Venezuela,https://www.bbc.com/portuguese/articles/cw4p2lxdyzjo
Como nossa mente nos faz repetir os erros e o que fazer para evitar isso,https://www.bbc.com/portuguese/articles/c4nw80547plo
O encontro entre Lula e Zelensky que não aconteceu - e mais 3 destaques da cúpula do G7,https://www.bbc.com/portuguese/articles/c51pe7vn9y5o
Vidro ou plástico: o que é melhor para o meio ambiente?,https://www.bbc.com/portuguese/articles/cev4zpvq952o
Japão vê seu pacifismo histórico em xeque diante de avanços de China e Coreia do Norte,https://www.bbc.com/portuguese/articles/cm5lgyr48vmo
O caos na economia mundial que viria com possível calote da dívida dos EUA,https://www.bbc.com/portuguese/articles/cd17p1lg21zo
‘Vim para desaparecer’: a perigosa cidade subterrânea onde vivem centenas de pessoas em Las Vegas,https://www.bbc.com/portuguese/articles/cx04wd9pw0yo
As armadilhas dos games para fazer crianças gastarem dinheiro sem parar,https://www.bbc.com/portuguese/articles/clw9xep49zgo
"Para que serve a vitamina K, da coagulação ao envelhecimento saudável",https://www.bbc.com/portuguese/articles/c72zjr3vrv1o
4 pontos defendidos por Lula na cúpula do G7,https://www.bbc.com/portuguese/articles/c9762966ln4o
Brasil no G7: quatro prioridades e uma preocupação de Lula em viagem ao Japão,https://www.bbc.com/portuguese/articles/c84133nzj9do
Brasil no G7: como crise argentina pode ajudar Lula a se fortalecer como líder regional e global,https://www.bbc.com/portuguese/articles/c72z553dpz2o
"Vídeo, Decisão 'arbitrária' ou 'irretocável'? O debate sobre cassação de Dallagnol, Duration 5,03",https://www.bbc.com/portuguese/brasil-65645112
As dicas de negociadores de paz para reconciliar Brasil polarizado,https://www.bbc.com/portuguese/articles/clk4jygg21po
Titanic: o que a 1ª varredura de imagem completa do naufrágio revelou,https://www.bbc.com/portuguese/articles/c29r2rn353po
A Bíblia leiloada por R$ 190 milhões que virou o manuscrito mais valioso do mundo,https://www.bbc.com/portuguese/articles/c9763nql6p1o
A mulher que fugiu pela floresta para salvar filhos de seita que levou mais de 200 à morte,https://www.bbc.com/portuguese/articles/cxwp1wkzw70o
Polícia usa arma de choque contra mulher de 95 anos em casa de repouso e causa revolta na Austrália,https://www.bbc.com/portuguese/articles/c3g92gpd2xyo
O que se sabe sobre crianças desaparecidas após queda de avião na Colômbia,https://www.bbc.com/portuguese/articles/c03727l39nxo
‘Não podemos fazer nada a não ser ver os bebês morrerem’: o colapso de hospitais no Afeganistão,https://www.bbc.com/portuguese/articles/czvk2dz055qo
"Vídeo, O meio milhão de crianças sem comida e educação no maior campo de refugiados do mundo, Duration 2,30",https://www.bbc.com/portuguese/internacional-65645115
"Vídeo, Como lei que inspirou Deltan Dallagnol levou à sua cassação, Duration 5,24",https://www.bbc.com/portuguese/brasil-65632368
Algumas pessoas são mais propensas a se tornarem viciadas?,https://www.bbc.com/portuguese/articles/cw455dj47elo
A publicitária que foi para a UTI após usar Ozempic sem orientação médica,https://www.bbc.com/portuguese/articles/cped4v9w4eeo
A importância da musculação para mulheres antes e após menopausa,https://www.bbc.com/portuguese/articles/c0xd24w0g42o
O projeto que vai analisar 60 mil corpos e cérebros para entender por que doenças aparecem,https://www.bbc.com/portuguese/articles/c03720djx99o
As doenças transmitidas por animais de estimação e 9 dicas para se proteger,https://www.bbc.com/portuguese/articles/c976qm2lq2zo
O alerta da OMS sobre riscos de adoçante artificial à saúde,https://www.bbc.com/portuguese/articles/cd1g55ppng9o
O mistério da onça rara que dura quase 10 anos na região serrana do RJ,https://www.bbc.com/portuguese/articles/cglzzkpnprko
As incríveis imagens que mostram impacto dos humanos nas paisagens,https://www.bbc.com/portuguese/articles/cql3w9vdel8o
Três falácias que podem nos enganar - e como evitar cair na armadilha,https://www.bbc.com/portuguese/articles/cx9n4gej8llo
O relato de vítimas de golpe e extorsão após lei antigay na Nigéria,https://www.bbc.com/portuguese/articles/c51p668yejdo
Aliança inteligente e votos escritos por robô: como são as cerimônias de casamento high-tech,https://www.bbc.com/portuguese/articles/cx04777yq20o
A polêmica sobre regulação dos apps que retocam fotos,https://www.bbc.com/portuguese/articles/cyd891jgmm5o
A gasolina vai ficar mais barata? 5 perguntas sobre a mudança de política de preços da Petrobras,https://www.bbc.com/portuguese/articles/cv2dl05gvveo
As mudanças de vida na Argentina com inflação acima de 100% ao ano,https://www.bbc.com/portuguese/articles/cgxlgdgzee0o
As impressionantes imagens vencedoras de concurso de fotos de comida,https://www.bbc.com/portuguese/articles/cx8p1xll9yjo
"Tom Hanks: carreira pode continuar após a morte com inteligência artificial, diz ator",https://www.bbc.com/portuguese/articles/cd1rkn0qx9zo
Por que cantor The Weeknd 'trocou' de nome,https://www.bbc.com/portuguese/articles/c729kg1vxzro
O artista brasileiro que viveu 50 anos em instituições psiquiátricas e é tema de exposição nos EUA,https://www.bbc.com/portuguese/articles/cp0ez7m7qg7o
Como fronteiras de Israel mudaram desde sua criação há 75 anos,https://www.bbc.com/portuguese/extra/IkTCzu5CAd/Israel_historico_fronteiras
O que revelam novos esqueletos encontrados nas ruínas de Pompeia,https://www.bbc.com/portuguese/articles/cn4eplle5y6o
As descobertas que estão mudando o que sabemos sobre os neandertais,https://www.bbc.com/portuguese/articles/cpvxngnx4p9o
'Filiprimos'? As semelhanças entre Brasil e Filipinas que se refletem nas redes sociais,https://www.bbc.com/portuguese/articles/cv240x00p90o
Por que conservadores estão em guerra contra Disney e cervejaria nos EUA,https://www.bbc.com/portuguese/articles/cxxy631g0dyo
O teste de DNA que identificou serial killer 30 anos depois dos crimes,https://www.bbc.com/portuguese/articles/cn3vpm7yl5ko
Os mitos e erros sobre os hemisférios do cérebro,https://www.bbc.com/portuguese/articles/cjj999w39dgo
PM que fuzilou dois colegas era conhecido pela gentileza e falou com a BBC um mês antes do crime,https://www.bbc.com/portuguese/articles/c8vr5vylgr0o
Decisão 'arbitrária' ou 'irretocável'? Juristas divergem sobre cassação de Deltan Dallagnol,https://www.bbc.com/portuguese/articles/cjqkp3ve12jo
Como STF pode regular plataformas digitais após impasse no PL das Fake News,https://www.bbc.com/portuguese/articles/c4nw53753pno
"Quem é Kemal Kilicdaroglu, adversário de Erdogan no 2º turno na Turquia",https://www.bbc.com/portuguese/articles/cqv0yn009w4o
Os ex-escravizados que levaram tradições brasileiras para Gana,https://www.bbc.com/portuguese/articles/cw9pw50y92wo
"CÚPULA DO G7 “A decepção foi de Lula”, diz Zelensky sobre encontro não realizado",https://www.cnnbrasil.com.br/internacional/a-decepcao-foi-de-lula-diz-zelensky-sobre-encontro-nao-realizado-no-g7/
Flamengo vence Corinthians e mantém rival na zona do rebaixamento da Série A,https://www.cnnbrasil.com.br/esportes/nos-acrescimos-flamengo-vence-e-corinthians-fica-mais-uma-rodada-no-z4/
Brasileiro Vinicius Jr. é vítima de mais um caso de racismo na Espanha,https://www.cnnbrasil.com.br/esportes/vinicius-jr-e-vitima-de-mais-um-caso-de-racismo-na-espanha/
"Bíblia Hebraica mais antiga do mundo é vendida por recorde de R$ 189,5 milhões",https://www.cnnbrasil.com.br/internacional/biblia-hebraica-mais-antiga-do-mundo-e-vendida-por-recorde-de-r-1895-milhoes/
Quilombolas estão em 30% das cidades brasileiras; veja mapa e procure a sua,https://g1.globo.com/economia/censo/noticia/2023/07/27/censo-do-ibge-a-cada-10-municipios-do-brasil-3-tem-moradores-quilombolas-veja-mapa-e-consulte-sua-cidade.ghtml
"Caixa começa a distribuir R$ 12,7 bi de lucro do FGTS; saiba quem recebe",https://g1.globo.com/economia/noticia/2023/07/27/lucro-do-fgts-caixa-comeca-a-distribuir-r-127-bilhoes-saiba-se-voce-vai-receber.ghtml
Quase 90% dos quilombolas vivem fora de territórios delimitados,https://g1.globo.com/economia/censo/noticia/2023/07/27/quase-90percent-dos-quilombolas-vivem-fora-de-territorios-delimitados.ghtml
Cidade ocupada no final do século 16 tem o maior nº de quilombolas do Brasil,https://g1.globo.com/ba/bahia/noticia/2023/07/27/cidade-ocupada-a-partir-da-corrida-do-ouro-no-final-do-seculo-16-senhor-do-bonfim-tem-a-maior-populacao-quilombola-do-brasil-conheca.ghtml
"Quem são os quilombolas, incluídos no Censo pela 1ª vez",https://g1.globo.com/economia/censo/noticia/2023/07/27/quem-sao-os-quilombolas-grupos-remanescentes-de-quilombos-que-foram-incluidos-no-censo-pela-1a-vez.ghtml
